#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	48K_relab	47K_relab	46K_relab	42K_relab	41K_relab	40K_relab	36K_relab	35K_relab	34K_relab	30K_relab	29K_relab	28K_relab	24K_relab	23K_relab	22K_relab	18K_relab	17K_relab	16K_relab	12K_relab	11K_relab	10K_relab	06K_relab	05K_relab	04K_relab
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0	0	0	0	0	0.02085	0	0.10162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10511	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0	0	0	0	0	0.02085	0	0.10162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10511	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2|201174|84998|84999|84107|102106	0	0	0	0	0	0.02085	0	0.10162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10511	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	0	0	0	0	0	0.02085	0	0.10162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10511	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0	0.9479700000000001	1.1021299999999998	1.3524	1.9957900000000002	1.4105299999999998	1.2888	2.71707	0.91924	0	0.60642	1.1361	0.84925	1.2352100000000001	0.73095	1.02216	1.1468399999999999	0.6996899999999999	0.37786	1.07162	0.63677	0.30914	0.11662	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0	0.9479700000000001	1.1021299999999998	1.3524	1.9957900000000002	1.4105299999999998	1.2888	2.71707	0.91924	0	0.60642	1.1361	0.84925	1.2352100000000001	0.73095	1.02216	1.1468399999999999	0.6996899999999999	0.37786	1.07162	0.63677	0.30914	0.11662	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	2|201174|84998|1643822|1643826|580024	0	0.9479700000000001	1.1021299999999998	1.3524	1.9957900000000002	1.4105299999999998	1.2888	2.71707	0.91924	0	0.60642	1.1361	0.84925	1.2352100000000001	0.73095	1.02216	1.1468399999999999	0.6996899999999999	0.37786	1.07162	0.63677	0.30914	0.11662	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris	2|201174|84998|1643822|1643826|580024|671266	0	0.9479700000000001	1.1021299999999998	1.3524	1.9957900000000002	1.4105299999999998	1.2888	2.71707	0.91924	0	0.60642	1.1361	0.84925	1.2352100000000001	0.73095	1.02216	1.1468399999999999	0.6996899999999999	0.37786	1.07162	0.63677	0.30914	0.11662	0
k__Bacteria|p__Bacteroidetes	2|976	0	0	0.46401000000000003	0.519	0.13362000000000002	0.71378	0.44114	2.40028	0.21158000000000002	0	0.13323	1.34165	0.6716300000000001	1.43364	0.82904	0.94544	0.8266399999999999	0.22960999999999998	2.39141	1.54606	0.67081	0.34003	0.19115	0.22398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0	0	0.46401000000000003	0.519	0.13362000000000002	0.71378	0.44114	2.40028	0.21158000000000002	0	0.13323	1.34165	0.6716300000000001	1.43364	0.82904	0.94544	0.8266399999999999	0.22960999999999998	2.39141	1.54606	0.67081	0.34003	0.19115	0.22398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0	0	0.46401000000000003	0.519	0.13362000000000002	0.71378	0.44114	2.40028	0.21158000000000002	0	0.13323	1.34165	0.6716300000000001	1.43364	0.82904	0.94544	0.8266399999999999	0.22960999999999998	2.39141	1.54606	0.67081	0.34003	0.19115	0.22398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0	0	0.46401000000000003	0.519	0.13362000000000002	0.71378	0.44114	2.40028	0.21158000000000002	0	0.13323	1.34165	0	0.39944	0.07987000000000001	0.94544	0.8266399999999999	0.22960999999999998	2.39141	1.54606	0.67081	0.34003	0.19115	0.22398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	0	0	0.46401000000000003	0.519	0.13362000000000002	0.71378	0.44114	2.40028	0.21158000000000002	0	0.13323	1.34165	0	0.39944	0.07987000000000001	0.94544	0.8266399999999999	0.22960999999999998	2.39141	1.54606	0.67081	0.34003	0.19115	0.22398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	2|976|200643|171549|815|816|818	0	0	0.46401000000000003	0.519	0.13362000000000002	0.71378	0.44114	2.40028	0.21158000000000002	0	0.13323	1.34165	0	0.39944	0.07987000000000001	0.94544	0.8266399999999999	0.22960999999999998	2.39141	1.54606	0.67081	0.34003	0.19115	0.22398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	0	0	0	0	0	0	0	0	0	0	0	0	0.6716300000000001	1.0342	0.74917	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	2|976|200643|171549|2005473|	0	0	0	0	0	0	0	0	0	0	0	0	0.6716300000000001	1.0342	0.74917	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_DSM_103720	2|976|200643|171549|2005473||2094237	0	0	0	0	0	0	0	0	0	0	0	0	0.6716300000000001	1.0342	0.74917	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	2|1239	0	0.10442	9.442730000000001	27.37875	38.59621	19.98422	39.171	5.37044	21.18369	1.98337	1.0674700000000001	8.7729	12.693660000000001	17.09856	15.181870000000002	12.5631	14.956179999999998	12.71292	43.2702	26.637959999999996	11.72177	17.61296	18.80471	21.05667
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0	0.10442	0.39255999999999996	0	1.2917299999999998	0.4226	6.32961	3.10284	1.0572	0.62967	0.050960000000000005	0.40346	0.01158	0.23231	0.9529700000000001	0.30559000000000003	0.6846800000000001	0.10073	0.00877	0	0	3.00751	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0	0.10442	0.39255999999999996	0	1.2917299999999998	0.4226	6.32961	3.10284	1.0572	0.62967	0.050960000000000005	0.40346	0.01158	0.23231	0.9529700000000001	0.30559000000000003	0.6846800000000001	0.10073	0.00877	0	0	3.00751	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0	0	0	0	0	0	0	0	0	0	0.050960000000000005	0	0	0.12333	0.0197	0	0	0	0.00877	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	0	0	0	0	0	0	0	0	0	0	0.050960000000000005	0	0	0.12333	0.0197	0	0	0	0.00877	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	2|1239|91061|186826|81852|1350|1351	0	0	0	0	0	0	0	0	0	0	0.050960000000000005	0	0	0	0	0	0	0	0.00877	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	2|1239|91061|186826|81852|1350|1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12333	0.0197	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0	0.10442	0.39255999999999996	0	1.2917299999999998	0.4226	6.32961	3.10284	1.0572	0.62967	0	0.40346	0.01158	0.10898	0.9332799999999999	0.30559000000000003	0.6846800000000001	0.10073	0	0	0	3.00751	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	0	0.10442	0.39255999999999996	0	1.2917299999999998	0.4226	6.32961	3.10284	1.0572	0.62967	0	0.40346	0.01158	0.10898	0.9332799999999999	0.30559000000000003	0.6846800000000001	0.10073	0	0	0	3.00751	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_animalis	2|1239|91061|186826|33958|1578|1605	0	0.10442	0.39255999999999996	0	1.22482	0.4226	0.5130100000000001	0.313	1.00586	0.5703699999999999	0	0.40346	0.01158	0.10898	0.9332799999999999	0.30559000000000003	0.64045	0.10073	0	0	0	2.56847	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	2|1239|91061|186826|33958|1578|33959	0	0	0	0	0	0	5.239380000000001	2.65345	0	0	0	0	0	0	0	0	0.044239999999999995	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus	2|1239|91061|186826|33958|1578|1622	0	0	0	0	0.06692000000000001	0	0	0	0.051329999999999994	0.0593	0	0	0	0	0	0	0	0	0	0	0	0.43904	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	2|1239|91061|186826|33958|1578|1598	0	0	0	0	0	0	0.57722	0.13638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0	0	9.050180000000001	3.23462	9.94993	19.35277	3.68435	2.26761	10.08244	0	0.56916	8.369439999999999	10.090710000000001	6.80495	0.8461299999999999	10.69929	2.52829	8.20314	30.845879999999998	26.637959999999996	11.1287	14.60545	18.219739999999998	20.95427
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0	0	9.050180000000001	3.23462	9.94993	19.35277	3.68435	2.26761	10.08244	0	0.56916	8.369439999999999	10.090710000000001	6.80495	0.8461299999999999	10.69929	2.52829	8.20314	30.845879999999998	26.637959999999996	11.1287	14.60545	18.219739999999998	20.95427
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06972	0.11449000000000001	0.26703000000000005	0.33587	0.17481	0.2747	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	2|1239|186801|186802|31979|1485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06972	0.11449000000000001	0.26703000000000005	0.33587	0.17481	0.2747	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF356	2|1239|186801|186802|31979|1485|97138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02974	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502	2|1239|186801|186802|31979|1485|97139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06972	0.11449000000000001	0.26703000000000005	0.30612	0.17481	0.2747	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	0	0	4.2997	2.93911	8.28828	18.8205	3.2361299999999997	0.14476	9.88509	0	0.56916	7.1287199999999995	8.322569999999999	0.52299	0.61784	10.03995	1.18497	7.661989999999999	30.418440000000004	26.16433	10.58469	13.855939999999999	17.949279999999998	20.575779999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor	2|1239|186801|186802|186803|1427378	0	0	0.038	0	0.05977999999999999	0	0	0	0	0	0	0	0.01824	0.0892	0	0	0	0.06971000000000001	0.02565	0.23398000000000002	0.20905	0	0.04317	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris	2|1239|186801|186802|186803|1427378|879566	0	0	0.038	0	0.05977999999999999	0	0	0	0	0	0	0	0.01824	0.0892	0	0	0	0.06971000000000001	0.02565	0.23398000000000002	0.20905	0	0.04317	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	2|1239|186801|186802|186803|189330	0	0	0.04033	0.01099	0.00606	0	0	0	0	0	0	0.16178	0	0	0	0	0.029639999999999996	0.25706999999999997	0.42328000000000005	0.23571	0.62761	0.19525	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	2|1239|186801|186802|186803|189330|1235798	0	0	0.04033	0.01099	0.00606	0	0	0	0	0	0	0.16178	0	0	0	0	0.029639999999999996	0.25706999999999997	0.42328000000000005	0.23571	0.62761	0.19525	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|	0	0	4.22138	2.9281200000000003	8.222439999999999	18.8205	3.2361299999999997	0.14476	9.88509	0	0.56916	6.966939999999999	8.30433	0.4338	0.61784	10.03995	1.15533	7.3352	29.9695	25.69464	9.74803	13.660689999999999	17.90611	20.575779999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_28_4	2|1239|186801|186802|186803||397287	0	0	0.23185999999999998	0	0	0	0	0	0.03113	0	0	0	0	0	0	1.79475	0	0	0	0.12673	0.09328	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1	2|1239|186801|186802|186803||397288	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126	0.02068	0	0.059410000000000004	0.1195	0	0	0.05065	0.12417	0.08651	0.07607
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_2	2|1239|186801|186802|186803||1235799	0	0	0	0.83385	0	0.20165999999999998	0.13226	0	0	0	0	0.43532	0	0	0	1.58323	0.36254000000000003	2.0175400000000003	0	3.49712	2.52779	0.09988999999999999	0.7435	0.09228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2	2|1239|186801|186802|186803||397290	0	0	0	0.97214	2.41907	4.68585	0	0.14476	0	0	0	3.5327900000000003	1.6234899999999999	0.4212	0.59716	6.661969999999999	0.65385	5.1658800000000005	0.8689100000000001	0	0.18319000000000002	1.39094	8.647730000000001	7.44428
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4	2|1239|186801|186802|186803||397291	0	0	3.78074	1.12214	5.80337	13.93299	3.10387	0	9.85396	0	0.56916	2.99883	6.68085	0	0	0	0	0	28.940309999999997	22.07079	6.89312	11.962439999999999	8.42837	12.86825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_COE1	2|1239|186801|186802|186803||1235793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_M18_1	2|1239|186801|186802|186803||1235792	0	0	0.20878000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07952999999999999	0.03229	0.16029000000000002	0	0	0.08324	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0	0	0	0	0	0.2331	0	0	0	0	0	0.8398700000000001	0	0.21999000000000002	0.08434	0.18101	0	0	0	0	0	0.11067	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	2|1239|186801|186802|216572|459786	0	0	0	0	0	0.2331	0	0	0	0	0	0.8398700000000001	0	0.21999000000000002	0.08434	0.18101	0	0	0	0	0	0.11067	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3	2|1239|186801|186802|216572|459786|1235797	0	0	0	0	0	0.2331	0	0	0	0	0	0.8398700000000001	0	0.21999000000000002	0.08434	0.18101	0	0	0	0	0	0.11067	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0	0	0	0	0	0	0.03191	0	0	0	0	0	0	0	0	0	0.01696	0	0	0	0	0	0.11812	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia	2|1239|186801|186802|186804|1501226	0	0	0	0	0	0	0.03191	0	0	0	0	0	0	0	0	0	0.01696	0	0	0	0	0	0.11812	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	2|1239|186801|186802|186804|1501226|1115758	0	0	0	0	0	0	0.03191	0	0	0	0	0	0	0	0	0	0.01696	0	0	0	0	0	0.11812	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0	0	4.7504800000000005	0.29551	1.66166	0.29917	0.4163	2.12284	0.19734000000000002	0	0	0.40085	1.76814	6.06197	0.14396	0.47833000000000003	1.25663	0.42665	0.16042	0.13776	0.3692	0.36414	0.15234	0.37848000000000004
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter	2|1239|186801|186802|541000|1918385	0	0	4.5777	0.29551	1.66166	0.19513	0.4163	2.04687	0	0	0	0.1462	1.63515	5.66659	0.06813	0	1.0880299999999998	0.22701999999999997	0	0	0	0.10440999999999999	0.15234	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter|s__Acutalibacter_muris	2|1239|186801|186802|541000|1918385|1796620	0	0	4.5777	0.29551	1.66166	0.19513	0.4163	2.04687	0	0	0	0.1462	1.63515	5.66659	0.06813	0	1.0880299999999998	0.22701999999999997	0	0	0	0.10440999999999999	0.15234	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	2|1239|186801|186802|541000|244127	0	0	0.17277	0	0	0.10404000000000001	0	0.07597999999999999	0.19734000000000002	0	0	0.25465	0.13299	0.39538	0.07583	0.47833000000000003	0.1686	0.19963	0.16042	0.13776	0.3692	0.25973	0	0.37848000000000004
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_G3_2012	2|1239|186801|186802|541000|244127|1235835	0	0	0.17277	0	0	0.10404000000000001	0	0.07597999999999999	0.19734000000000002	0	0	0.25465	0.13299	0.39538	0.07583	0.47833000000000003	0.1686	0.19963	0.16042	0.13776	0.3692	0.25973	0	0.37848000000000004
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0	0	0	24.14413	27.354540000000004	0.20884	29.15705	0	10.04406	1.35369	0.44733999999999996	0	2.59137	10.0613	13.38277	1.55823	11.743210000000001	4.40904	12.41555	0	0.59307	0	0.58497	0.1024
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0	0	0	24.14413	27.354540000000004	0.20884	29.15705	0	10.04406	1.35369	0.44733999999999996	0	2.59137	10.0613	13.38277	1.55823	11.743210000000001	4.40904	12.41555	0	0.59307	0	0.58497	0.1024
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0	0	0	24.14413	27.354540000000004	0.20884	29.15705	0	10.04406	1.35369	0.44733999999999996	0	2.59137	10.0613	13.38277	1.55823	11.743210000000001	4.40904	12.41555	0	0.59307	0	0.58497	0.1024
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella	2|1239|526524|526525|128827|1937008	0	0	0	0	1.00537	0	0	0	0	0	0	0	2.59137	0.62654	0	0.14032	0.38369000000000003	0	12.40727	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella|s__Dubosiella_newyorkensis	2|1239|526524|526525|128827|1937008|1862672	0	0	0	0	1.00537	0	0	0	0	0	0	0	2.59137	0.62654	0	0.14032	0.38369000000000003	0	12.40727	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	2|1239|526524|526525|128827|1729679	0	0	0	24.14413	26.34917	0.20884	29.15705	0	10.04406	1.35369	0.44733999999999996	0	0	9.43476	13.230189999999999	1.41791	11.35952	4.40904	0.00828	0	0.59307	0	0.58497	0.1024
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum_rodentium	2|1239|526524|526525|128827|1729679|1702221	0	0	0	24.14413	26.34917	0.20884	29.15705	0	10.04406	1.35369	0.44733999999999996	0	0	9.43476	13.230189999999999	1.41791	11.35952	4.40904	0.00828	0	0.59307	0	0.58497	0.1024
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium	2|1239|526524|526525|128827|1937007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15258	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Ileibacterium|s__Ileibacterium_valens	2|1239|526524|526525|128827|1937007|1862668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15258	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	2|1224	0	0	0	0.03236	0.16072	0	0	0	0	0	0	0	0	0	0.18352000000000002	0	0	0	0	0	0	0	0	0
